2022-05-17 10:05:583 INFO  RegisterPage :189 - verify the fristname is required text[[ChromeDriver: chrome on WINDOWS (10b40f57f3bf804bd00d8204e324a248)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[2]/span[2]]
2022-05-17 10:05:624 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 10:05:743 INFO  RegisterPage :80 - click on register link[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 10:05:854 INFO  RegisterPage :85 - click on gender button[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //input[@id='gender-male']]
2022-05-17 10:05:967 INFO  RegisterPage :90 - enter firstname[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //input[@id='FirstName']]
2022-05-17 10:05:53 INFO  RegisterPage :95 - enter lastname[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //input[@id='LastName']]
2022-05-17 10:05:123 INFO  RegisterPage :100 - dropdown date of birth[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[1]]
2022-05-17 10:05:193 INFO  RegisterPage :105 - dropdown date of month[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-17 10:05:263 INFO  RegisterPage :110 - drop down date of year[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[3]]
2022-05-17 10:05:349 INFO  LoginPage :49 - enter email id[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //input[@id='Email']]
2022-05-17 10:05:446 INFO  LoginPage :54 - enter passowrd[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> id: Password]
2022-05-17 10:05:527 INFO  RegisterPage :127 - enter conform passowrd[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-17 10:05:583 INFO  RegisterPage :147 - click on register button[[ChromeDriver: chrome on WINDOWS (5fe405adb16ed6687257370fc75e7d93)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-17 10:05:662 INFO  RegisterPage :139 - click on verify the registertextProxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2022-05-17 11:05:306 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:862 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 11:05:386 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
